,file_name,Subject1,Subject2,n_success,n_failures,norm_score,skill,task_score,max_seq,avg_seq,bounce_hull,bounce_std,bounce_sp_entropy,bounce_sc_entropy,rt_lyp,samp_en,std_rt,avg_p1,avg_p2,avg_p3,var_p1,var_p2,var_p3,avg_start_fs,std_start_fs,session_class,Tobii_percentage
0,2022-11-08_A_T03,SE001B,,197,1,9.595613434,0.994949495,0.98988366,197,197.0,322035.7515,124.060744,0.458544037,0.637396936,1.06031692,1.000756499,8.093402034,39.89340102,25.94923858,37.31472081,3.837274719,4.038829545,5.776939677,53.30456853,6.492371896,0,99.201658
1,2022-11-08_A_T04,SE001C,,93,7,7.601202051,0.93,0.86366537,23,11.625,545192.4084,177.6043728,0.564620659,0.644355601,0.825908959,1.018569581,11.52274842,43.77419355,27.87096774,41.33333333,5.775605042,7.242683823,5.466089663,61.84946237,12.20342472,2,97.582728
2,2022-11-09_A_T03,SE002B,,173,6,10.23158927,0.966480447,0.932788046,56,24.71428571,357817.9092,134.3042474,0.493585231,0.637412859,-1.780457139,1.140089806,6.20712902,36.46242775,25.28901734,29.30635838,4.432542414,5.615600243,5.276605038,39.31213873,7.482211857,0,89.818182
3,2022-11-09_A_T04,SE002C,,162,8,9.684925476,0.952941176,0.90763437,65,18.0,447417.1925,150.3994508,0.522347725,0.638125173,-1.947736382,0.907227226,8.857749383,38.22222222,25.91975309,29.34567901,4.809969072,5.416000979,4.306642856,42.25925926,9.363414194,0,86.100906
4,2022-11-14_M_T01,SE003C,,170,7,9.296224478,0.960451977,0.925778423,47,21.25,387727.0918,141.4066545,0.511537518,0.610729088,0.820265651,0.700151645,12.92452003,38.01176471,23.78823529,37.61764706,6.125153765,7.669027268,6.960454287,53.38235294,12.54876302,0,98.653302
5,2022-11-14_M_T02,SE003B,,112,9,8.194112967,0.925619835,0.861260906,21,11.2,451184.6197,164.6948731,0.539671483,0.645920392,0.828314543,1.132777102,11.20165349,40.875,26.00892857,37.54464286,6.444993904,7.214191787,5.861326631,44.91071429,11.16879707,0,84.151344
6,2022-11-14_M_T06,SE003A,,154,2,8.610434487,0.987179487,0.974205735,98,51.33333333,493886.5764,156.0076093,0.53294864,0.640780816,0.871293902,1.140826349,7.889107995,44.85064935,23.97402597,44.2987013,6.159969712,6.761184147,4.03576522,59.96753247,10.73797656,0,93.579086
7,2022-11-15_M_T01,SE004A,,145,7,8.988471309,0.953947368,0.91200674,48,18.125,528247.5061,157.8600967,0.538238641,0.631713934,1.014548779,0.904456274,9.865820362,41.93103448,22.94482759,36.35172414,7.571867325,7.425751382,4.851634683,45.84827586,10.53488853,0,98.012716
8,2022-11-15_M_T03,SE004B,,143,10,8.429993028,0.934640523,0.873267158,28,13.0,453788.3473,160.5688134,0.5387504,0.615145973,0.986679733,1.159300364,10.12405327,41.27272727,24.29370629,37.51748252,6.314797604,5.513913955,6.702314752,50.65734266,10.16583122,0,94.96775
9,2022-11-15_A_T04,SE005C,,273,1,11.27320955,0.996350365,0.992262223,273,273.0,378698.1997,117.7348514,0.461870484,0.654584558,-1.666140437,1.151008027,6.643432524,36.04761905,25.16483516,26.80586081,4.696807798,4.973034398,4.429633239,35.88278388,5.723241315,0,97.789288
10,2022-11-15_A_T05,SE005B,,224,4,11.65501166,0.98245614,0.964863951,146,44.8,342377.1666,112.0805454,0.44574026,0.607881179,0.691807508,1.088954619,5.327230478,33.61607143,25.125,24.01785714,3.665099725,4.18889902,3.728467089,31.75,4.437059837,0,92.888344
11,2022-11-15_A_T06,SE005A,,82,11,7.524374735,0.88172043,0.779681567,25,6.833333333,467930.3331,169.9020752,0.555707677,0.617510587,0.846566975,1.033654392,12.63807736,39.02439024,27.63414634,35.09756098,7.57398566,6.226442815,6.101998385,54.24390244,11.34982645,2,92.822522
12,2022-11-17_M_T01,SE006A,,229,3,9.769593222,0.987068966,0.97516423,108,57.25,463127.7382,162.9112034,0.538283782,0.628221331,1.649649382,0.952845449,9.651291251,39.24454148,23.81659389,36.73799127,4.951425924,5.5588542,4.988318002,48.17467249,9.286561898,0,93.898488
